Name of Institution,Affiliation Number,State,District,Postal Address,Pin Code,Website,Year of Foundation,Date of First Opening of School,Name of Principal/ Head of Institution,Gender,Principal's Educational/Professional Qualifications:,No of Experience (in Years):,Administrative:,Teaching:,Status of The School,Type of affiliation,Affiliation Period,Name of Trust/ Society/ Managing Committee,"Remarks, if any"
WOODLANDS OVERSEAS SCHOOL,1630453,PUNJAB,HOSHIARPUR,"VPO SATAUR,DASUYA ROAD, DISTT HOSHIARPUR, PUNJAB",146001,http://www.woschool.com,2004,04 Apr 2004,Puja Dhiman,Female,"B.Com, B.Ed., M.Com, MBA, M.Phil",,19,08,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Overseas Benevolent Educational Society,
MORNING STAR SENIOR SECONDARY SCHOOL,1630454,PUNJAB,TARN TARAN,"KHEM KARAN ROAD,  PATTI, DISTT TARANTARAN, PUNJAB",143416,,2006,01 Mar 2006,RANJEET RANDHAVA,Female,B.ED,,2,0,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Morning Star Education Society Patti,
SUPREME CONVENT SCHOOL,1630455,PUNJAB,MOGA,"NIHALSINGHWALA, BILASPUR, DISTT MOGA, PUNJAB",142039,,2004,01 Mar 2004,SANDEEP KUMAR,Male,MA ENGLISH BED,,10,18,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Supreme Educational Society,
STANDARD PUBLIC SCHOOL,1630456,PUNJAB,GURDASPUR,GADIAN GURDAS PUR,151204,,2003,02 Apr 2001,HA singh,,"M.A , B.ED",,16,4,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026","sangat sahib bhai pheru sikh educational society, faridkot",
WOOD STOCK PUBLIC SCHOOL,1630457,PUNJAB,GURDASPUR,"ANARKALI ROAD, GURDAS PUR, PUNJAB",143505,,2001,04 Apr 2005,ANNAMMA,Female,"M.A, B.ED",,16,32,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",BRIGHT WAY SCHOOL SHIKSHA SAMITI,
SRI GURU HARIKRISHAN PUBLIC SCHOOL,1630458,PUNJAB,KAPURTHALA,"OPP. R.C.F., KAPURTHALA, PUNJAB",144602,,2005,08 Apr 2004,PRABDEEP KAUR MONGA,Male,M.A B.ED,,24,16,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SANSKAR BHARTI TRUST,
DAV PUBLIC SCHOOL,1630459,PUNJAB,LUDHIANA,"LUDHIANA, PUNJAB",148023,,2004,01 Apr 2004,Satwant Kaur Bhullar,,"MA, P.hd.",,24,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","Sarvhitkari Educational Society, Chandigarh",
"GURPREET HOLY HEART PUBLIC SCHOOL, MEHAL KALAN",1630460,PUNJAB,BARNALA,"RAIKOT BARNALA ROAD, MEHAL KALAN, DISTT BARNALA, PUNJAB",148101,,2006,,POOJA SHARMA,Male,"M.Sc,B.Ed",,10,17,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
SILVER OAK INTERNATIONAL SCHOOL,1630461,PUNJAB,HOSHIARPUR,"TANDA MIANI ROAD, SHAHBAZPUR,DISTT HOSHIARPUR, PUNJAB",144204,,2006,04 Apr 2006,Munisha Sangar,Male,"M. Sc - Zoology, M.A - English, B.Ed.",,14,7,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",ZEE EDUCATIONAL SOCIETY,
MGN PUBLIC SCHOOL,1630462,PUNJAB,JALANDHAR,"URBAN ESTATE PHASE II, DISTT JALANDHAR, PUNJAB",144022,http://www.mgneducationaltrust.org,2005,07 Apr 2005,RAJWINDER PAL,Male,"M.A , B.Ed",,14,22,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",MGN Educational Trust,
GARDEN VALLEY INTERNATIONAL SCHOOL,1630463,PUNJAB,LUDHIANA,"VILLAGE BHATTIAN, P.O. MACHHIWARA, LUDHINANA, PUNJAB",141115,,2004,01 Apr 2004,HARPREET KAUR,Female,"M.SC MATHEMATICS, M.ED, U.G.C, PH.D",,10,25,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SARV JAN SEVA EDUCATIONAL SOCIETY,
GENIUS INTERNATIONAL PUBLIC SCHOOL,1630464,PUNJAB,RUPNAGAR,"NEAR GURUDWARA SOLKHIAN, NH-21, ROPAR CHANDIGARH HIGHWAY, PUNJAB",144401,,2004,01 Jun 2004,Gurpreet Mathur,Male,"MA, B. ED",,16,35,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",smt maya devi sahdev edu society,
ST. SOLDIER DIVINE PUBLIC SCHOOL NAYA NANGAL,1630465,PUNJAB,RUPNAGAR,"P.O.NAYA NANGAL ,TEH NANGAL, DISTT. ROPAR, PUNJAB.",140126,,2007,01 Dec 2006,Nirmal Vasudeva,Male,"M.COM., B.ED",,6,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",St. Soldier Education Society,
DASMESH PUBLIC SCHOOL KOTKAPURA,1630466,PUNJAB,FARIDKOT,"PARTAP SINGH NAGAR, KOTKAPURA, FARIDKOT PUNJAB",151204,,2000,02 Apr 2001,GAGANDEEP KAUR BRAR,Male,"M.A, B.ED",,9,10,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026","Sangat Sahib Bhai Pheru Sikh Educational Society, Faridkot",
CAMBRIDGE INTERNATIONAL SCHOOL,1630467,PUNJAB,HOSHIARPUR,"HAJIPUR ROAD, DASUYA
TEHSIL : DASUYA
DISTT HOSHIARPUR, PUNJAB",144205,,2006,06 Apr 2007,O P  Gupta,Male,MSC MEd MBA,,27,5,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Vasal Educational Society,
EKAM PUBLIC SCHOOL,1630468,PUNJAB,JALANDHAR,"VILLAGE & P.O. MEHATPUR(PARJIAN ROAD), DISTT JALANDHAR, PUNJAB",144041,,2003,01 Apr 2003,AMANDIP KAUR,Female,"M.A., B.Ed.",,17,19,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",EKAM EDUCATIONAL AND SPORTS WELFARE SOCIETY,
DR. DEV RAJ DAYANAND ANGLO VERNACULAR PUBLIC SCHOOL,1630469,PUNJAB,SANGRUR,"KHAI LEHRAGAGA, LEHRA SANGRUR, PUNJAB",148031,,2006,01 Jan 2006,Sukhveer Kaur,Female,"M.SC, B.ED",,11,9,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",post graduate educational society (regd.) Lehragaga,
BACHPAN ENGLISH SCHOOL,1630470,PUNJAB,SANGRUR,"SANGRUR, PANJAB",148001,,1996,02 Apr 2001,ANU SUDAN,,M.A. B.Ed.,,8,18,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026","sangat sahib bhai pheru sikh educational society, faridkot",
NRM HOLLY HEART CONVENT SCHOOL,1630471,PUNJAB,MANSA,"OPP. RADHA SWAMI SATSANG BHAWAN, BOHA BUDHDADA, MANSA, PUNJAB",151503,http://www.nrmholyheart.com,2006,,Sant Kumar Sharma,Male,M A BED,,15,15,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
SACRED HEART PUBLIC SCHOOL,1630472,PUNJAB,SRI MUKTSAR SAHIB,"VILLAGE JANDO KE . P.O BARIWALA, MUKTSAR, PUNJAB",152025,,2002,01 Apr 2002,Manju,Male,"M.Sc, B.Ed",,15,22,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027","SACRED HEART EDUCATION FOUNDATION SOCIETY, HEAD OFFICE FARIDKOT",
CHANAKYA SCHOOL,1630473,PUNJAB,FEROZEPUR,"FAZILKA KORIAN WALI ROAD PANCHAN WALI, FEROZEPUR, PUNJAB",152123,,2004,01 Apr 2004,Vandana,Female,"MSc , BEd , MAEng, MAEdu",,8,16,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",ST. CHANAKYA EDUCATIONAL SOCIETY,
SARVHITKARI VIDYA MANDIR,1630474,PUNJAB,SANGRUR,"DHURI ROAD, DISTT SANGRUR, PUNJAB",148023,,2003,01 Apr 2004,Prem Singh Khimta,Female,MA.B.Ed,,18,20,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","Sarvhitkari Educational Society, Chandigarh",
SANT PRANPAL SINGH CONVENT SCHOOL,1630475,PUNJAB,KAPURTHALA,"BEGOWAL (BHOGPUR ROAD), DISTT KAPURTHALA, PUNJAB",144621,,2005,23 Mar 2005,ROMILA SHARMA,Male,"M.A, B.ED",,20,9,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SANT PRANPAL SINGH EDUCATIONAL SOCIETY,
SHISHU NIKETAN PUBLIC SCHOOL,1630476,PUNJAB,RUPNAGAR,"SECTOR - 66, MOHALI - (S.A.S. NAGAR), DISTT ROPAR, PUNJAB-160066",160066,http://www.shishuniketan.com,2005,04 Apr 2005,HARJEET KAUR,Male,MPHIL,,12,23,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Shishu Niketan Model School,
JATINDRA GREENFIELD SCHOOL,1630477,PUNJAB,LUDHIANA,"V.P.O. GURUSAR SUDHAR, RAIKOT LUDHIANA, PUNJAB",141104,www.registry.ernet.in,2004,02 Apr 1994,CHANDER SHEKHAR,,"M.Sc Maths, B.Ed",,20,16,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",JEHOVAH JIREH EDUCATIONAL SOCIETY,
EXCELSIOR CONVENT SCHOOL,1630478,PUNJAB,PATIALA,"VILLAGE:FAGGAN MAJRA,PO:CHAILLAILA, DISTT PATIALA, PUNJAB",147001,,2003,06 Apr 2003,YOGESH AGGARWAL,Female,B.TECH. MBA B.ED. CFA,,5,15,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Excelsior Society of Education (Regd),
J.M.K INTERNATIONAL SCHOOL,1630479,PUNJAB,PATHANKOT,"P.BOX 37
DISTT PATHANKOT, PUNJAB",145001,,2000,21 Apr 2000,Ms.Niti Kochhar,Female,M.COM B.ED,,03,03,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",R.B.Jodhamal Kuthiala Educational Society,
VASISHAT BHARTI INTERNATIONAL SCHOOL,1630480,PUNJAB,HOSHIARPUR,"VPO DATARPUR, TEHSIL MUKERIAN, DISTT HOSHIARPUR, PUNJAB",144222,www.vasishatbharti.com,2003,01 Apr 2003,Dinkar Prashar,Male,"M.SC.,B.ED., M.A.ENGLISH,M.A.PUBLIC.Adm",,19,8,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",Vasishat Bharti Educational Managing Society Talwara,
SH.NARAYAN SARVHITKARI VIDYA MANDIR,1630481,PUNJAB,MANSA,"OPP. FEST DEPARTMENT, BARNALA ROAD, DISTT MANSA, PUNJAB",151505,,2002,15 Apr 2002,ASHWANI KUMAR,Male,"M.Com., M.B.A., B.Ed",,10,13,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",sarvhitkari educational society punjab,
PARTAP WORLD SCHOOL,1630482,PUNJAB,PATHANKOT,"VILLAGE PANGOLI,DEFENCE ROAD, DISTT PATHANKOT, PUNJAB",145001,http://www.partapworldschool.edu.in,2006,,SUBHRA RANI,Male,"B.Ed,LLB,MBA,M.A, M.Phill",,19,26,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
CLAY INDIA INTERNATIONAL SCHOOL,1630483,PUNJAB,BATHINDA,"SANGAT CROSSING, DABWALI BHTHINDA ROAD, DISTT BHATINDA, PUNJAB",151401,http://www.clayindiainternational.com,2001,02 Apr 2002,SARITA,Female,"DHMS, MA, B.Ed",,23,26,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SARDAR SADHU SINGH DHILLON MEMORIAL EDUCATION SOCIETY,
VIVEK PUBLIC SCHOOL,1630484,PUNJAB,AMRITSAR,"VILLAGE HEIR, HERITAGE CITY, AIRPORT ROAD, AMRITSAR, PUNJAB",143001,,2006,01 Apr 2006,Nidhi Mehra,Female,"M.Com, B.Ed.",,19,21,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",indus education society (regd.),
APEX INTERNATIONAL PUBLIC SCHOOL,1630485,PUNJAB,JALANDHAR,"KAPURTHALA ROAD , NAKODAR, DISTT JALANDHAR, PUNJAB",144040,,2004,01 Apr 2005,SHALLU GUPTA,Female,M.A/M.ED,,13,09,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",SARDAR BISHAN SINGH DOSANJH,
DOON PUBLIC SCHOOL,1630486,PUNJAB,BATHINDA,"NATHANA-BHAGTA MAIN ROAD, V.PO. KALYAN SUKHA,  THESIL & DISTT. BATHINDA, PUNJAB",151001,,2002,01 Apr 2002,RAJAN KHURANA,Female,"M.A. ENGLISH, MSC. IT., B.COM., B.ED.",,19,09,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028","BABA BUDH RAM PARKASH JI EDUCATION SOCIETY, KALYAN SUKHA, DISTT. BATHINDA",
S. HARBANS SINGH INTERNATIONAL PUBLIC SCHOOL,1630487,PUNJAB,TARN TARAN,TARNTARAN AMRITSAR PUNJAB,144222,,2005,01 Apr 2003,Navdeep Kaur,Female,"M.A , BEd",,15,23,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026","VASISHAT BHARTI EDUCATIONAL MANAGING SOCIETY , TALWARA",
MOUNT CARMEL SCHOOL,1630488,PUNJAB,RUPNAGAR,"SECTOR-69, TEHSIL- MOHALI, ROPAR",160069,,2006,01 Apr 2006,JASLEEN KAUR SABHARWAL,Female,M.A B.ED,,8,15,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026",Cheema Educational & Charitable Trust,
SUKH SAGAR INTERNATIONAL PUBLIC SCHOOL,1630489,PUNJAB,HOSHIARPUR,VILLAGE SAIDOWAL PO-SAFDARPUR VIA DASUYA DISTT-HOSHIARPUR PUNJAB 144205,144205,,2006,01 Apr 2005,PRABHJOT KAUR,Female,"DOUBLE M.A, B.Ed, M.A EDU, M.A PUNJABI",,9,6,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","MATA GUJRI EDUCATIONAL SOCIETY , Kullian Bala",
SACRED SOULS' SCHOOL,1630490,PUNJAB,SAS NAGAR,"AMRITSHAR LUDHIANA NATIONAL HIGHWAY, DISTT MOHALI, PUNJAB",140411,http://www.sacredsoulsschool.com,2004,01 Apr 2004,Manbir Brar,Male,"M.A., B.Ed.",,8,25,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Sahejpal Singh Educational & Welfare Society,
COLONEL PUBLIC SCHOOL,1630491,PUNJAB,SANGRUR,"CHURAN KALAN, LEHRA, SANGRUR PUNJAB",141007,www.colonelinstitutes.com,2007,01 Apr 2006,SANJEEV DABRAL,,Msc Mathematics MA History  BED,,11,11,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",Shifaly Public School Managing Committee,
HERITAGE PUBLIC SCHOOL,1630492,PUNJAB,PATIALA,"VILLAGE  LELHAN
GAJJU KHERA RAJPURA, DISTT PATIALA, PUNJAB",140601,,2004,01 Mar 2004,SEEMA SAXENA,Female,"M.A,B.ED",,18,12,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027",bibi amar kaur educational society,
LA FOUNDATION SCHOOL,1630493,PUNJAB,SANGRUR,"VILLAGE THALESAN, SANGRUR DISTT., PUNJAB",148001,http://www.lafoundation.com,2005,17 Mar 2005,VIBHA SHARMA,Female,"MA, B.Ed",,14,5,Secondary Level,,"From :
                                01/04/2021  
                                 To :
                                31/03/2026","La Foundation Educational Society, Dhuri Road, Sangrur",
"SAINT KABIR CONVENT DAY-BOARDING SCHOOL, DASUWAL (VALTOHA)",1630494,PUNJAB,TARN TARAN,"VILLAGE DASUWAL, P.O. MANEKE, TEHSIL PATTI, DISTT. TARN TARAN-143418, PUNJAB (INDIA)",143418,http://www.saintkabirschoolvaltoha.com,2004,,RHYTHM SHARMA,Male,"M.A, B.Ed",,16,03,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",,
SHIFALY INTERNATIONAL SCHOOL,1630495,PUNJAB,LUDHIANA,"JAIN COLONY, RAHON ROAD, LUDHIANA, PUNJAB",141007,,2006,01 Apr 2006,ROSY JAIN,Female,MA ECONOMICS MA HISTORY MED PHD.,,23,16,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",shifaly public school managing committee,
POLICE DAV PUBLIC SCHOOL,1630496,PUNJAB,PATIALA,"DADHERA, VPO-KALYAN, NABHA ROAD, PATIALA, PUNJAB",147001,,2003,21 Apr 2003,MOHIT CHUG,Male,M.SC./M.Phil,,15,10,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",DAV College Managing Society and Punjab Police Education trust,
ST. SOLDIER DIVINE PUBLIC SCHOOL,1630497,PUNJAB,HOSHIARPUR,"LANGERI ROAD MAHILPUR, THE.-GARHSHANKAR  DISTT. HOSHIARPUR(PUNJAB)",146105,http://www.abcd.com,2004,27 Mar 2005,MEDHA VASHISHTH,Male,"M.A,M.ED",,2,12,Senior Secondary Level,,"From :
                                 01/04/2023 
                                 To :
                                 31/03/2028",St. Soldier Educational Society,
GLOBAL PUBLIC SCHOOL,1630498,PUNJAB,HOSHIARPUR,"RANGA, MUKERIAN HOSHIARPUR PUNJAB",144306,http://www.gpsranga.com,2003,,Rajeev Rana,Male,"BSC, MSC",,03,13,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
GANGA INTERNATIONAL SCHOOL,1630499,PUNJAB,PATIALA,NEAR KHANORI MANDI PATIALA PUNJAB,144601,,2007,02 Apr 2007,REENA CHEEMA,,"M.A,B.ED",,12,32,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",Shri Guru Tegh Bahadur educational Society,
DIPS SCHOOL,1630500,PUNJAB,JALANDHAR,"NEAR LODHEWALI, P.O. CHOGATTI, JALLANDHAR, PUNJAB",144004,,2004,14 Mar 2001,RAJESH KUMAR CHOUDHARY,Female,"M.Sc. , B.ED., M.Phil Physics.",,3,18,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",I JAY PUBLIC TRUST,
DIVINE PUBLIC SCHOOL,1630501,PUNJAB,KAPURTHALA,"G.T. ROAD, CHCACHOKI, KAPTHALLA, PHAGWARA, PUNJAB",144632,http://www.divinepublicschoolphagwara.net,2001,,RENU THAKUR,Male,"MA,B.ED",,10,18,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
DIPS SCHOOL,1630502,PUNJAB,KAPURTHALA,"NADALI ROAD, BEGOWAL, DISTT KAPURTHALA, PUNJAB",144621,http://dipsbegowal.com,2006,,VARINDER,Male,M.Sc PHYSICS B.ED,,01,12,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
PANACEA PUBLIC SCHOOL,1630503,PUNJAB,FEROZEPUR,"CHAK MANNE WALA ,  TEH. JALALABAD WEST DISTT FEROZEPUR PUNJAB PIN 152024",152024,,2003,07 Apr 2003,RAMANPREET KAUR,Female,M.SC./ B.ED.,,19,19,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","NEW PANACEA WELFARE SOCIETY,JALALABAD WEST",
GURU NANAK DEV ACADEMY,1630504,PUNJAB,TARN TARAN,GURU NANAK DEV ACADEMY.CHABHAL TROAD.DISTT.TARN TARAN,143401,,2003,01 Apr 2003,JASPAL KAUR,Male,"MA, B.Ed.",,11,24,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",BABA JIWAN SINGH BABA DALIP SINGH EDUCATION AND MANAGMENT COMMITTEE GOINDWAL ROAD TARN TARAN,
BROADWAY PUBLIC SCHOOL,1630505,PUNJAB,SANGRUR,"VILL:-MANAL,P/O:-KURAR TEH&DISTT:-BARNALA",148104,,2005,04 Apr 2005,M A SAIFY,Female,M.Ed.,,18,10,Senior Secondary Level,,"From :
                                 01/04/2022 
                                 To :
                                 31/03/2027","s. harbans singh cheema memial trust,manal",
MANAV MANGAL SMART SCHOOL,1630506,PUNJAB,SAS NAGAR,"SECTOR 64 , PHASE X , MOHALI , PUNJAB",160062,,2007,10 Feb 2007,Kavita Malik,Female,"M.Sc., M.Phil., B.Ed.",,16,24,Secondary Level,,"From :
                                01/04/2022  
                                 To :
                                31/03/2027",Manav Mangal Society,
SANSKIRITI KMV SCHOOL,1630507,PUNJAB,JALANDHAR,"KMV CAMPUS VIDYALAYA MARG, TANDA ROAD, DISTT JALANDHAR, PUNJAB",144004,http://sanskritikmv.in/,2003,,RACHNA MONGA,Male,"MA, BED, MBA",,18,23,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
BCM SCHOOL,1630508,PUNJAB,LUDHIANA,"BASANT CITY, PAKHOWAL ROAD, POST OFFICE LALTON KALAN, LUDHIANA, PUNJAB",142022,http://basantcity.bcmschools.org,2006,,Mrs.Nidhi Jain,Female,"M.Sc., B.Ed.",,16,28,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
KALGIDHAR INTERNATIONAL SCHOOL,1630509,PUNJAB,GURDASPUR,VILL. PURANA SHALLA,143530,,2006,01 Feb 2006,PANKAJ RANA,,M.SC. B.Ed.,,12,18,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",KALGIDHAR INTERNATIONAL SOCIETY,
INDUS PUBLIC SCHOOL,1630510,PUNJAB,SAS NAGAR,"INDUS PUBLIC SCHOOL
NEAR QILA COMPLEX,KHARAR,MOHALI,PUNJAB,140301",140301,,2008,01 Apr 2002,PARAM PREET CHEEMA,,"M.Sc, B.Ed",,17,14,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029","S GIAN SINGH EDUCATION SOCIETY,KHARAR",
P.K.S. INTERNATIONAL SCHOOL,1630511,PUNJAB,BATHINDA,"BATHINDA-MALOUT ROAD, VPO : BALLUANA, DISTT. BHATINDA",151001,,2003,01 Apr 2003,MANJOT KAUR,,"M.SC, B.Ed",,1,8,Secondary Level,,"From :
                                01/04/2022  
                                 To :
                                31/03/2027","BHAI GURDASS EDUCATIONAL SOCIETY, SM HOUSE, SARABHA NAGAR, ST. NO. 4, BHATTI ROAD, BATHINDA",
UMA RANA PUBLIC SCHOOL,1630512,PUNJAB,FATEHGARH SAHIB,"VPO SANGHOL, TEHSIL-KHAMANO, DISTT-FATEHGARH",141128,,2006,23 Mar 1998,SHALLU SHARMA,Male,M.A./B.ED.,,4,20,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",DAV COLLEGE MANAGING COMMITTEE,
"DIPS SCHOOL,",1630513,PUNJAB,HOSHIARPUR,"DARAPUR BYEPASS
TANDA HOSHIARPUR, PUNJAB",144204,http://www.dipstanda.com,2007,02 Apr 2007,Divya Chawla,Male,M.A M.ED,,15,15,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",Sahibzada Ajit Singh Educational Trust (Regd.),
STATE PUBLIC SCHOOL,1630514,PUNJAB,JALANDHAR,"SOFI PIND 
JALANDHAR CANTT",144024,http://www.statepublicschools.in,2006,,SAVINA BAHL,Male,M.A. B.Ed,,9,17,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
RYAN INTERNATIONAL SCHOOL,1630515,PUNJAB,AMRITSAR,"G.T. ROAD BY-PASS, NEAR AMRITSAR GATE, AMRITSAR",143001,,2003,04 Mar 2003,Kanchan Malhotra,Female,"M.Com,B.Ed",,6,28,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",ST.XAVIERS EDUCATION TRUST,
ST. STEPHINS SCHOOL,1630516,PUNJAB,SAS NAGAR,NEAR OMAXE NEW CHANDIGARH,160014,http://www.stephenstogan.com,2004,,Cajetan Vincent ROY DA SILVA,Male,MA .B ED.,,15,25,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",,
BHAI GURUDAS PUBLIC SCHOOL,1630517,PUNJAB,JALANDHAR,"VILLAGE & P.O. KALRA, NEAR ADAMPUR, JALANDHAR",144003,http://www.bgpskalra.in,1997,01 Apr 2001,Davinder Kaur,,M.A/B.Ed,,10,10,Secondary Level,,"From :
                                01/04/2022  
                                 To :
                                31/03/2027",TAKSHILA EDUCATIONAL SOCIETY,
J. K. S. PUBLIC SCHOOL,1630518,PUNJAB,FEROZEPUR,"BEHIND PARAS CINEMA
FARIDKOT ROAD",152022,http://www.jksschool.com,2003,02 Apr 2003,MEENU MONGA,Male,"MA,Bed",,15,15,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",J. K. S. EDUCATIONAL SOCIETY,
MOTHER INDIA PUBLIC SCHOOL,1630519,PUNJAB,PATIALA,"NIAL BYE-PASS PATRAN, DISTT PATIALA",147105,www.mipspatran.in,2007,01 Apr 2007,NITIKA GUPTA,Male,"M.COM., M.B.A., M.ED.",,6,6,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",MOTHER INDIA EDUCATION SOCIETY,
PUNJAB PUBLIC SCHOOL,1630520,PUNJAB,SRI MUKTSAR SAHIB,"VPO- LAKHEWALI, DISTT. MUKTSAR",152026,http://www.bgscentralschool.org,2006,03 Jun 2002,Sanju Bala,Female,"MA, B.Ed.",,5,15,Senior Secondary Level,,"From :
                                 01/04/2021 
                                 To :
                                 31/03/2026",Sri.Adichunchanagiri Shikshana Trust,
PREMIER PUBLIC SCHOOL,1630521,PUNJAB,PATIALA,"PATIALA-SAMANA ROAD, NEAR TOLL TAX, CHUPKI, SAMANA",147101,,2007,02 Apr 2007,VISHWARUCHI DE,Female,"M.SC., B.Ed.",,8,22,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",PREMIER EDUCATIONAL AND CHARITABLE SOCIETY,
NISHAAN ACADEMY,1630522,PUNJAB,SRI MUKTSAR SAHIB,"VILL: AULAKH, P.O.: RAM NAGAR",152112,,2005,01 Apr 2006,HARPREET KAUR,Female,M.SC IT,,01,12,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030","NISHAN ORGANISATION, #7172, BATHINDA ROAD, MUKTSAR",
OXFORD WORLD SCHOOL,1630523,PUNJAB,HOSHIARPUR,"VIIL. SAHORA DADYAL, P.O SEPRIAN",144211,,2007,02 Apr 2007,SAROJ BALA,Female,M.A/B.ed,,5,12,Senior Secondary Level,,"From :
                                 01/04/2024 
                                 To :
                                 31/03/2029",springdales educational society,
STATE PUBLIC SCHOOL,1630524,PUNJAB,JALANDHAR,"PARJIAN ROAD , SHAHKOT",144702,http://www.statepublicschools.com,2003,,Kanwar Neel Kamal,Male,M.Sc. M.Ed,,15,26,Senior Secondary Level,,"From :
                                 01/04/2025 
                                 To :
                                 31/03/2030",,
